"Date","URM","LRM","Distance","Year"
"498",2008-08-15,152.5,149.5,3,2008
"499",2008-08-16,134,130.5,3.5,2008
"500",2009-10-10,78,74.5,3.5,2009
"501",2009-10-11,78,74.5,3.5,2009
"502",2009-10-12,77,74.5,2.5,2009
"503",2009-10-18,78,74.5,3.5,2009
"504",2009-10-04,81.5,74.5,7,2009
"505",2009-10-05,77,74.5,2.5,2009
"506",2009-10-06,77,74.5,2.5,2009
"507",2009-10-07,82,74.5,7.5,2009
"508",2009-10-08,82,74.5,7.5,2009
"509",2009-10-09,78,74.5,3.5,2009
"510",2009-07-19,74,74,0,2009
"511",2009-07-20,79,74,5,2009
"512",2009-07-21,79.5,74,5.5,2009
"513",2009-07-22,80,74,6,2009
"514",2009-07-23,82,74,8,2009
"515",2009-07-24,82,74,8,2009
"516",2009-07-25,80,74,6,2009
"517",2009-07-26,78.5,74,4.5,2009
"518",2009-07-27,77.5,74,3.5,2009
"519",2009-07-28,76.5,74,2.5,2009
"520",2009-08-10,79,74.5,4.5,2009
"521",2009-08-11,74.5,74.5,0,2009
"522",2009-08-11,85,85,0,2009
"523",2009-08-12,84,74.5,9.5,2009
"524",2009-08-13,82.5,74.5,8,2009
"525",2009-08-14,83,74.5,8.5,2009
"526",2009-08-15,81,74.5,6.5,2009
"527",2009-08-16,81,74.5,6.5,2009
"528",2009-08-17,80.5,74.5,6,2009
"529",2009-08-18,77.5,74.5,3,2009
"530",2009-08-21,75,74.5,0.5,2009
"531",2009-08-22,90,85,5,2009
"532",2009-08-23,81,74.5,6.5,2009
"533",2009-08-23,86.5,85.5,1,2009
"534",2009-08-24,84,74.5,9.5,2009
"535",2009-08-25,80,74.5,5.5,2009
"536",2009-08-06,82,74.5,7.5,2009
"537",2009-08-07,79,74.5,4.5,2009
"538",2009-08-08,79.5,74.5,5,2009
"539",2009-08-09,84,74.5,9.5,2009
"540",2009-09-03,81.5,74.5,7,2009
"541",2009-09-03,91,85.5,5.5,2009
"542",2009-09-04,81.5,74.5,7,2009
"543",2009-09-04,91,85.5,5.5,2009
"544",2009-09-05,82,74.5,7.5,2009
"545",2009-09-05,92,85.5,6.5,2009
"546",2009-09-06,82,74.5,7.5,2009
"547",2009-09-06,90.5,85.5,5,2009
"548",2009-09-07,80.5,74.5,6,2009
"549",2010-10-10,89.5,74,15.5,2010
"550",2010-10-10,159.5,152.5,7,2010
"551",2010-10-11,89.5,74,15.5,2010
"552",2010-10-11,160,152.5,7.5,2010
"553",2010-10-12,89.5,74,15.5,2010
"554",2010-10-12,159.5,152.5,7,2010
"555",2010-10-13,89.5,74,15.5,2010
"556",2010-10-13,160.5,152.5,8,2010
"557",2010-10-14,89,74,15,2010
"558",2010-10-14,161,152.5,8.5,2010
"559",2010-10-15,89,74,15,2010
"560",2010-10-15,161,152.5,8.5,2010
"561",2010-10-16,86.5,74,12.5,2010
"562",2010-10-16,161,152.5,8.5,2010
"563",2010-10-17,88,74,14,2010
"564",2010-10-17,159.5,152.5,7,2010
"565",2010-10-18,89.5,74,15.5,2010
"566",2010-10-18,161,152.5,8.5,2010
"567",2010-10-19,86,74,12,2010
"568",2010-10-19,161,152.5,8.5,2010
"569",2010-10-02,155.5,152.5,3,2010
"570",2010-10-20,86.5,74,12.5,2010
"571",2010-10-20,161,152.5,8.5,2010
"572",2010-10-21,85,74,11,2010
"573",2010-10-22,83.5,74,9.5,2010
"574",2010-10-27,153,152.5,0.5,2010
"575",2010-10-03,88,74,14,2010
"576",2010-10-03,153.5,152.5,1,2010
"577",2010-10-04,88,74,14,2010
"578",2010-10-05,86,74,12,2010
"579",2010-10-06,86,74,12,2010
